QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,STATUS,PRODUCTLINE,MSRP
50,67.8,3390.0,1/6/2003 0:00,Shipped,Vintage Cars,60
22,86.51,1903.22,1/6/2003 0:00,Shipped,Vintage Cars,92
49,34.47,1689.03,1/6/2003 0:00,Shipped,Vintage Cars,41
45,31.2,1404.0,1/9/2003 0:00,Shipped,Vintage Cars,33
46,53.76,2472.96,1/9/2003 0:00,Shipped,Vintage Cars,44
41,50.14,2055.74,1/10/2003 0:00,Shipped,Vintage Cars,53
22,54.09,1189.98,1/29/2003 0:00,Shipped,Trucks and Buses,60
27,83.07,2242.89,1/29/2003 0:00,Shipped,Vintage Cars,101
35,57.46,2011.1,1/29/2003 0:00,Shipped,Vintage Cars,62
41,47.29,1938.89,1/29/2003 0:00,Shipped,Vintage Cars,50
45,75.63,3403.35,1/29/2003 0:00,Shipped,Trucks and Buses,64
35,55.49,1942.15,1/31/2003 0:00,Shipped,Classic Cars,57
44,39.6,1742.4,1/31/2003 0:00,Shipped,Classic Cars,35
35,47.62,1666.7,1/31/2003 0:00,Shipped,Trucks and Buses,54
49,65.87,3227.63,1/31/2003 0:00,Shipped,Trains,62
32,53.31,1705.92,1/31/2003 0:00,Shipped,Trains,58
41,82.5,3382.5,2/11/2003 0:00,Shipped,Vintage Cars,87
44,72.58,3193.52,2/11/2003 0:00,Shipped,Vintage Cars,88
50,79.67,3983.5,2/11/2003 0:00,Shipped,Vintage Cars,83
41,70.67,2897.47,2/11/2003 0:00,Shipped,Ships,66
29,70.15,2034.35,2/11/2003 0:00,Shipped,Ships,86
31,65.77,2038.87,2/11/2003 0:00,Shipped,Ships,72
39,81.14,3164.46,2/11/2003 0:00,Shipped,Ships,100
25,56.78,1419.5,2/11/2003 0:00,Shipped,Ships,54
34,90.39,3073.26,2/17/2003 0:00,Shipped,Planes,84
41,83.44,3421.04,2/17/2003 0:00,Shipped,Ships,86
28,88.63,2481.64,2/17/2003 0:00,Shipped,Planes,109
49,74.68,3659.32,2/17/2003 0:00,Shipped,Planes,68
31,52.6,1630.6,2/17/2003 0:00,Shipped,Vintage Cars,65
50,64.83,3241.5,2/17/2003 0:00,Shipped,Planes,68
26,63.76,1657.76,2/17/2003 0:00,Shipped,Planes,72
33,72.92,2406.36,2/17/2003 0:00,Shipped,Vintage Cars,68
39,40.15,1565.85,2/17/2003 0:00,Shipped,Vintage Cars,43
44,74.4,3273.6,2/17/2003 0:00,Shipped,Planes,80
48,61.44,2949.12,2/17/2003 0:00,Shipped,Planes,74
48,52.64,2526.72,2/17/2003 0:00,Shipped,Planes,49
30,95.7,2871.0,2/24/2003 0:00,Shipped,Motorcycles,95
39,99.91,3896.49,2/24/2003 0:00,Shipped,Motorcycles,118
29,70.87,2055.23,2/24/2003 0:00,Shipped,Motorcycles,60
38,83.03,3155.14,2/24/2003 0:00,Shipped,Motorcycles,76
20,92.9,1858.0,2/24/2003 0:00,Shipped,Motorcycles,99
39,89.38,3485.82,3/3/2003 0:00,Shipped,Classic Cars,79
38,82.39,3130.82,3/3/2003 0:00,Shipped,Classic Cars,77
26,68.35,1777.1,3/3/2003 0:00,Shipped,Classic Cars,80
43,67.77,2914.11,3/3/2003 0:00,Shipped,Motorcycles,62
35,58.87,2060.45,3/3/2003 0:00,Shipped,Motorcycles,69
30,63.07,1892.1,3/3/2003 0:00,Shipped,Classic Cars,61
31,68.71,2130.01,3/3/2003 0:00,Shipped,Classic Cars,80
27,43.45,1173.15,3/3/2003 0:00,Shipped,Motorcycles,40
34,82.99,2821.66,3/3/2003 0:00,Shipped,Motorcycles,81
29,32.1,930.9,3/10/2003 0:00,Shipped,Classic Cars,37
32,50.25,1608.0,3/18/2003 0:00,Shipped,Vintage Cars,60
28,89.27,2499.56,3/18/2003 0:00,Shipped,Vintage Cars,92
42,61.29,2574.18,3/18/2003 0:00,Shipped,Classic Cars,71
36,85.25,3069.0,3/18/2003 0:00,Shipped,Classic Cars,73
29,59.37,1721.73,3/18/2003 0:00,Shipped,Classic Cars,50
20,35.51,710.2,3/18/2003 0:00,Shipped,Vintage Cars,33
39,44.35,1729.65,3/18/2003 0:00,Shipped,Vintage Cars,44
43,78.15,3360.45,3/18/2003 0:00,Shipped,Classic Cars,90
27,73.62,1987.74,3/18/2003 0:00,Shipped,Classic Cars,85
48,34.47,1654.56,3/18/2003 0:00,Shipped,Vintage Cars,41
33,99.66,3288.78,3/25/2003 0:00,Shipped,Vintage Cars,102
48,49.06,2354.88,3/25/2003 0:00,Shipped,Vintage Cars,53
28,64.33,1801.24,3/25/2003 0:00,Shipped,Vintage Cars,62
26,86.68,2253.68,3/25/2003 0:00,Shipped,Vintage Cars,97
50,49.81,2490.5,3/26/2003 0:00,Shipped,Vintage Cars,50
23,68.52,1575.96,3/26/2003 0:00,Shipped,Trucks and Buses,64
45,68.67,3090.15,4/1/2003 0:00,Shipped,Trucks and Buses,60
24,30.06,721.44,4/1/2003 0:00,Shipped,Classic Cars,35
28,55.73,1560.44,4/1/2003 0:00,Shipped,Trucks and Buses,54
47,69.36,3259.92,4/4/2003 0:00,Shipped,Classic Cars,57
27,63.38,1711.26,4/11/2003 0:00,Shipped,Trains,62
21,95.8,2011.8,4/16/2003 0:00,Shipped,Trains,100
23,97.42,2240.66,4/16/2003 0:00,Shipped,Vintage Cars,87
21,49.21,1033.41,4/16/2003 0:00,Shipped,Trains,58
38,79.68,3027.84,4/16/2003 0:00,Shipped,Ships,86
45,83.42,3753.9,4/16/2003 0:00,Shipped,Ships,99
50,43.68,2184.0,4/16/2003 0:00,Shipped,Ships,54
21,89.46,1878.66,4/28/2003 0:00,Shipped,Ships,86
27,99.52,2687.04,4/28/2003 0:00,Shipped,Vintage Cars,105
41,59.6,2443.6,4/28/2003 0:00,Shipped,Planes,68
35,87.62,3066.7,4/28/2003 0:00,Shipped,Vintage Cars,88
20,72.98,1459.6,4/28/2003 0:00,Shipped,Vintage Cars,65
35,90.57,3169.95,4/28/2003 0:00,Shipped,Vintage Cars,83
28,70.29,1968.12,4/28/2003 0:00,Shipped,Planes,68
25,76.67,1916.75,4/28/2003 0:00,Shipped,Ships,66
29,94.14,2730.06,4/28/2003 0:00,Shipped,Ships,90
38,65.77,2499.26,4/28/2003 0:00,Shipped,Ships,72
26,59.22,1539.72,4/28/2003 0:00,Shipped,Planes,74
28,48.17,1348.76,4/28/2003 0:00,Shipped,Planes,49
29,96.34,2793.86,4/29/2003 0:00,Shipped,Motorcycles,118
29,71.81,2082.49,4/29/2003 0:00,Shipped,Planes,84
46,58.15,2674.9,4/29/2003 0:00,Shipped,Motorcycles,60
35,98.05,3431.75,4/29/2003 0:00,Shipped,Motorcycles,112
34,83.79,2848.86,4/29/2003 0:00,Shipped,Motorcycles,76
29,85.49,2479.21,4/29/2003 0:00,Shipped,Planes,72
29,72.23,2094.67,4/29/2003 0:00,Shipped,Vintage Cars,68
49,50.62,2480.38,4/29/2003 0:00,Shipped,Vintage Cars,43
47,82.21,3863.87,4/29/2003 0:00,Shipped,Planes,91
43,76.0,3268.0,4/29/2003 0:00,Shipped,Planes,80
34,81.35,2765.9,5/7/2003 0:00,Shipped,Motorcycles,95
32,76.88,2460.16,5/7/2003 0:00,Shipped,Motorcycles,69
25,86.74,2168.5,5/7/2003 0:00,Shipped,Motorcycles,102
44,74.85,3293.4,5/7/2003 0:00,Shipped,Motorcycles,81
37,99.82,3693.34,5/8/2003 0:00,Shipped,Classic Cars,117
32,63.84,2042.88,5/8/2003 0:00,Shipped,Classic Cars,79
43,72.38,3112.34,5/8/2003 0:00,Shipped,Classic Cars,77
21,73.17,1536.57,5/8/2003 0:00,Shipped,Classic Cars,80
35,49.74,1740.9,5/8/2003 0:00,Shipped,Motorcycles,62
39,30.96,1207.44,5/8/2003 0:00,Shipped,Classic Cars,37
34,50.21,1707.14,5/8/2003 0:00,Shipped,Classic Cars,61
29,71.14,2063.06,5/8/2003 0:00,Shipped,Classic Cars,80
31,44.66,1384.46,5/8/2003 0:00,Shipped,Motorcycles,40
50,59.87,2993.5,5/20/2003 0:00,Shipped,Classic Cars,50
42,53.88,2262.96,5/21/2003 0:00,Shipped,Vintage Cars,60
36,85.59,3081.24,5/21/2003 0:00,Shipped,Vintage Cars,92
23,57.73,1327.79,5/21/2003 0:00,Shipped,Classic Cars,71
22,77.9,1713.8,5/21/2003 0:00,Shipped,Classic Cars,73
45,37.84,1702.8,5/21/2003 0:00,Shipped,Vintage Cars,33
22,45.25,995.5,5/21/2003 0:00,Shipped,Vintage Cars,44
32,72.7,2326.4,5/21/2003 0:00,Shipped,Classic Cars,90
25,93.95,2348.75,5/21/2003 0:00,Shipped,Classic Cars,117
49,83.04,4068.96,5/21/2003 0:00,Shipped,Classic Cars,85
46,33.23,1528.58,5/21/2003 0:00,Shipped,Vintage Cars,41
42,54.99,2309.58,5/28/2003 0:00,Shipped,Vintage Cars,53
43,65.02,2795.86,5/28/2003 0:00,Shipped,Trucks and Buses,60
31,90.17,2795.27,5/28/2003 0:00,Shipped,Vintage Cars,101
46,73.7,3390.2,5/28/2003 0:00,Shipped,Vintage Cars,62
30,97.39,2921.7,5/28/2003 0:00,Shipped,Vintage Cars,104
38,82.34,3128.92,5/28/2003 0:00,Shipped,Vintage Cars,99
43,53.83,2314.69,5/28/2003 0:00,Shipped,Vintage Cars,50
43,96.31,4141.33,5/28/2003 0:00,Shipped,Trucks and Buses,96
26,62.7,1630.2,5/28/2003 0:00,Shipped,Trucks and Buses,64
20,60.69,1213.8,6/3/2003 0:00,Shipped,Classic Cars,57
39,38.19,1489.41,6/3/2003 0:00,Shipped,Classic Cars,35
20,96.99,1939.8,6/3/2003 0:00,Shipped,Classic Cars,118
45,51.95,2337.75,6/3/2003 0:00,Shipped,Trucks and Buses,54
29,70.84,2054.36,6/3/2003 0:00,Shipped,Trains,62
46,69.12,3179.52,6/3/2003 0:00,Shipped,Trains,58
43,92.16,3962.88,6/6/2003 0:00,Shipped,Vintage Cars,87
32,97.0,3104.0,6/6/2003 0:00,Shipped,Ships,86
41,94.71,3883.11,6/12/2003 0:00,Shipped,Vintage Cars,88
50,77.99,3899.5,6/12/2003 0:00,Shipped,Vintage Cars,83
